name	mod	context	context_source	default	live	seen	english	russian
key.ftbquests.gui.move_right	ftbquests	UNIVERSAL	assumed		key.keyboard.right	options	Move Selection / Scroll Right	
key.ftbquests.gui.move_up	ftbquests	UNIVERSAL	assumed		key.keyboard.up	options	Move Selection / Scroll Up	
key.ftbquests.gui.next_chapter	ftbquests	UNIVERSAL	assumed		key.keyboard.tab	options	Next Chapter	
key.ftbquests.gui.player_prefs	ftbquests	UNIVERSAL	assumed		key.keyboard.p:CONTROL	options	Player Preferences	
key.ftbquests.gui.prev_chapter	ftbquests	UNIVERSAL	assumed		key.keyboard.tab:SHIFT	options	Previous Chapter	
key.ftbquests.gui.recenter	ftbquests	UNIVERSAL	assumed		key.keyboard.space	options	Recenter GUI	
key.ftbquests.gui.search	ftbquests	UNIVERSAL	assumed		key.keyboard.f:CONTROL	options	Search	
key.ftbquests.gui.zoom_in	ftbquests	UNIVERSAL	assumed		key.keyboard.equal	options	Zoom In	
key.ftbquests.gui.zoom_out	ftbquests	UNIVERSAL	assumed		key.keyboard.minus	options	Zoom Out	
key.ftbquests.gui.zoom_reset	ftbquests	UNIVERSAL	assumed		key.keyboard.0	options	Reset Zoom	
key.ftbquests.gui_editor.copy	ftbquests	UNIVERSAL	assumed		key.keyboard.c:CONTROL	options	Copy	
key.ftbquests.gui_editor.delete	ftbquests	UNIVERSAL	assumed		key.keyboard.delete	options	Delete Hovered / Selected	
key.ftbquests.gui_editor.force_delete	ftbquests	UNIVERSAL	assumed		key.keyboard.delete:SHIFT	options	Force-delete Hovered / Selected	
key.ftbquests.gui_editor.paste	ftbquests	UNIVERSAL	assumed		key.keyboard.v:CONTROL	options	Paste	
key.ftbquests.gui_editor.redo	ftbquests	UNIVERSAL	assumed		key.keyboard.y:CONTROL	options	Redo	
key.ftbquests.gui_editor.reload_theme	ftbquests	UNIVERSAL	assumed		key.keyboard.f5	options	Reload Theme	
key.ftbquests.gui_editor.reward_tables	ftbquests	UNIVERSAL	assumed		key.keyboard.t:CONTROL	options	Open Reward Table Editor	
key.ftbquests.gui_editor.select_all	ftbquests	UNIVERSAL	assumed		key.keyboard.a:CONTROL	options	Select All	
key.ftbquests.gui_editor.select_none	ftbquests	UNIVERSAL	assumed		key.keyboard.d:CONTROL	options	Select None	
